stage_id	stage_name	is_adult
HsapDv:0000184	11 months	0
HsapDv:0000185	12 months	0
HsapDv:0000186	13 months	0
HsapDv:0000187	14 months	0
HsapDv:0000188	15 months	0
HsapDv:0000189	16 months	0
HsapDv:0000190	17 months	0
HsapDv:0000191	18 months	0
HsapDv:0000192	19 months	0
HsapDv:0000193	20 months	0
HsapDv:0000194	21 months	0
HsapDv:0000195	22 months	0
HsapDv:0000196	23 months	0
HsapDv:0000197	third LMP month	0
HsapDv:0000198	fourth LMP month	0
HsapDv:0000199	fifth LMP month	0
HsapDv:0000200	sixth LMP month	0
HsapDv:0000201	seventh LMP month	0
HsapDv:0000202	eighth LMP month	0
HsapDv:0000203	ninth LMP month	0
